,article_content,fake_or_satire
34,"World's Largest English Language News Service with Over 500 Articles Updated Daily

""The News You Need Today…For The World You’ll Live In Tomorrow.""

What You Aren’t Being Told About The World You Live In

How The “Conspiracy Theory” Label Was Conceived To Derail The Truth Movement

How Covert American Agents Infiltrate the Internet to Manipulate, Deceive, and Destroy Reputations

September 14, 2017

Trump Wins Dangerous “ Pakistan Gambit” That Spells “Total Doom” For US Democratic Party

By: Sorcha Faal, and as reported to her Western Subscribers

An intriguing Foreign Intelligence Service (SVR) report circulating in the Kremlin today reveals that President Donald Trump has pulled off one the most dangerous “gambit deals” [an action entailing a degree of risk calculated to gain an advantage] ever attempted in modern American political history when he pitted a $225 million military aid package to Pakistan against that nation’s Inter-Services Intelligence (IS) spy agency to pressure them into agreeing to immediately surrender a Pakistani woman to US authorities—and whose testimony could very well spell the “total doom” of the entire American Democratic Party. [Note: Some words and/or phrases appearing in quotes in this report are English language approximations of Russian words/phrases having no exact counterpart.]

According to this report, President Trump’s “gambit deal” with Pakistan began on 6 April 2017 when the United States Capitol Police (USCP) filed a mysterious report that stated:

“On 4/6/2017 at 0021 hours, with the building closed to the public, AOC informed USCP Rayburn offices of an unattended bag in the phone booth on the 2nd floor. The officer received the open-contents visible bag and prepared a found property report. While reviewing the inventory of the bag contents, the officer found

#1 a Pakistani ID card with the name Mohommed Ashraf Awan

#2 a copy – not original – of a drivers license with name Imran Awan

#3 a copy (front and back) of his congressional ID

#4 an Apple laptop with the homescreen initials ‘RepDWS’ (Representative Debbie Wasserman-Shultz)

#5 composition notebooks with notes handwritten saying ‘attorney client privilege’ and possibly discussing case details below

#6 loose letters addressed to US Attorney of DC discussing the apparent owner of the bag being investigated.

Approximately 3-4 months ago officer was requested by SAA as police presence of 4 individuals being interviewed, including the bag owner. It is unknown to the officer whether he is still employed.”

Wasserman Schultz’s laptop, legal notebook and letters to US Attorney were left in old phone booth like this one in the Rayburn building shortly after Midnight on 6 April 2017

Mohommed Ashraf Awan, this report explains, had previously been identified by the SVR as being a “deep cover” Pakistani IS operative who had embedded himself within the Democratic Party establishment working under his Americanized name of Imran Awan—and who was the top computer information technology specialist for disgraced former Democratic National Committee (DNC) chairman, and US Congresswoman, Debbie Wasserman-Schultz.

Labeled previously by the SVR as a “radical Islamic spy master”, this report details, Imran Awan first infiltrated the US Congress in January 2004 when he became the “information technology director” for Democratic Party US Congressman Robert Wexler—and who, also, over these past nearly 13 years, infiltrated into the US Congress his wife, Hina Alvi, and his brothers Abid and Jamal—with Jamal, at just 20 years old, being given by the Democratic Party in the US Congress the outlandish yearly salary of $160,000.

Pakistani IS spy Imran Awan (right) with former President Bill Clinton (left)

The Imran Awan spy ring operating within the US Capitol under the protection of the Democratic Party, this report continues, began to unravel this past February (2017) when they were linked to the death of Navy SEAL William Ryan Owens whose secret raid details were leaked—and whom President Trump quickly retaliated against.

With President Trump’s forces closing in on them, this report notes, Imran Awan’s wife Hina Alvi, on 5 March, was able to flee the United States with other members of her family—while Imran Awan stayed behind to liquidate their families vast real estate holdings made possible by the $9 million paid to them by the Democratic Party and US Congress—but who himself was successfully captured by US federal forces on 24 July when he had attempted to flee too—but who was arrested because he pretended to be his wife when requesting a loan from the US Congressional Federal Credit Union—got the loan, and then had this credit union wire $165,000 to Pakistan—with no no questions asked.

Even after his wife Hina Alvi had fled to Pakistan, this report continues, Congresswoman Wasserman-Shultz continued paying Imran Awan up the very day of his arrest—and that she fully intended on continuing to pay him should he have successfully been able to flee.

As to why Congressman Wasserman-Shultz and her Democratic Party continued to pay Imran Awan, this report explains, was due to their fears of what he knew—and that was everything as he had installed a secret server to capture every single US Congress document produced, including intelligence files—and as astonishingly described the Washington D.C. based Daily Caller News Service:

“Now-indicted former congressional IT aide Imran Awan allegedly routed data from numerous House Democrats to a secret server. Police grew suspicious and requested a copy of the server early this year, but they were provided with an elaborate falsified image designed to hide the massive violations.

The falsified image is what ultimately triggered their ban from the House network Feb. 2, according to a senior House official with direct knowledge of the investigation.

The secret server was connected to the House Democratic Caucus, an organization chaired by then-Rep. Xavier Becerra. Police informed Becerra that the server was the subject of an investigation and requested a copy of it. Authorities considered the false image they received to be interference in a criminal investigation, the senior official said.

Data was also backed up to Dropbox in huge quantities, the official said. Congressional offices are prohibited from using Dropbox, so an unofficial account was used, meaning Awan could have still had access to the data even though he was banned from the congressional network.”

Congresswoman Debbie Wasserman-Schultz (left) and Imran Awan (right)

Important to about Imran Awan, too, this report says, are that his actions on 6 April when he left for the US Capitol Police to find Congressman Wasserman-Schultz’s laptop Apple computer, confidential attorney notes, and letters to the US Attorney (that were found on the second floor of the Rayburn building – a place Awan would have had no reason to go because Wasserman Schultz's office is in the Longworth building) shows he is in great fear too—and as US Congressman Louie Gohmert confirmed with his recently stating: “If Awan thought he was better off with his crimes documented, that suggests he feared something worse than prison, that this was a matter of life insurance.”

As to what and/or whom Imran Awan would fear more than prison, this report details, is, most certainly, the Clinton Crime Family and their infamous “Clinton Death List”—and who immediately after Awan’s arrest, dispatched one of their top “inner-circle” attorneys named Chris Gowan to defend him—with no one bothering to explain (or the US mainstream press investigating) how a defendant who just told a US Federal Judge that he could not afford an attorney because he was “millions of dollars in debt”, could, 15 minutes later, have one of the most expensive lawyers in America defending him.

Congresswoman Wasserman-Shultz, also, this report continues, employed another high-power Clinton Crime Family attorney named William Pittard, to argue that her Apple laptop computer obtained by the US Capitol Police from Imran Awan as his “life insurance policy” should not be examined—but who wasn’t successful in this childish effort, with Imran Awan even now having for himself a complete copy of this computers hard drive given to him by US Attorneys under that nations “discovery laws”.

In his knowing that this scandal could very well destroy the Democratic Party forever, this report notes, President Trump, also, knew that in order for US federal prosecutors to discover how “wide and deep” the Imran Awan spy ring had penetrated the government, and what other secrets they possessed, “hinged/pivoted” on their securing the testimony of Awan’s wife Hina Alvi—but whom, in late August, Pakistan refused to extradite to the United States.

Immediately following Pakistan’s refusal to hand over Hina Alvi, this report continues, President Trump, on 30 August, employed his “gambit” by his notifying the US Congress that he was putting $255 million in military assistance to Pakistan on hold—while at the same time offering to both Imran Awan and his wife Hina Alvi what some are now describing as a “significant immunity deal”.

Though Pakistan initially slammed President Trump for being “hostile and threatening” towards them, this report says, their powerful Inter-Services Intelligence spy agency, nevertheless, agreed to expedite Hina Alvi’s travel to America later this month—under the condition that she not be arrested or handcuffed in front of her children—but who will have to turn-in her passport when she returns to the United States, with her further agreeing not seek or book any international travel following her appearance in the United States Federal Court.

In order to ensure that Inter-Services Intelligence keeps their side of this agreement to return Hina Alvi to the United States by the end of this month, this report notes, President Trump had his US State Department, yesterday, place Pakistan in a category that lists them as not being fiscally transparent in how they spend American money on their spy agencies—but that after Hina Alvi reaches the US, will be rescinded, thus allowing Pakistan to receive their $225 million in military assistance currently being blocked.

With the US mainstream propaganda media still blacklisting the information of the, most likely, greatest scandal in US history from being widely known to the America people, and who never report on any scandals involving the Democratic Party, this report continues, their being able to ignore this any longer is coming to a quick end—and when compared to the “fake news” Russian scandal, is not only real, but growing in its ferocity too.

This report concludes with SVR intelligence analysts predicting that President Trump will “weaponize” this scandal in order to totally destroy the Democratic Party—with Trump expected to drag it out for months to its climax during the 2018 US midterm elections that the Democratic Party has only managed to raise $21 million in donations from small donors for, and whose former DNC Chairman, Howard Dean, stunningly just admitted about America’s young voters “these people are not Democrats”—and whose nominal leader, Hillary Clinton, has just released a new book showing that she still doesn’t know why she lost to President Trump—but that any Russian school-child knowing simple mathematics could explain by their showing Clinton the fact that Trump won 2,622 counties in America, while she only won 490—and that no matter how much the Democratic Party and their mainstream media sycophant elites don’t like to face it, there are simply not enough coastal seats to be won for Democrats to ever win the US Congress again.

Other reports in this series include:

Largest Spy Scandal In American History Warned Could Collapse Entire Government

September 14, 2017 © EU and US all rights reserved. Permission to use this report in its entirety is granted under the condition it is linked back to its original source at WhatDoesItMean.Com. Freebase content licensed under CC-BY and GFDL.

[Note: Many governments and their intelligence services actively campaign against the information found in these reports so as not to alarm their citizens about the many catastrophic Earth changes and events to come, a stance that the Sisters of Sorcha Faal strongly disagree with in believing that it is every human beings right to know the truth. Due to our missions conflicts with that of those governments, the responses of their ‘agents’ has been a longstanding misinformation/misdirection campaign designed to discredit us, and others like us, that is exampled in numerous places, including HERE.]

[Note: The WhatDoesItMean.com website was created for and donated to the Sisters of Sorcha Faal in 2003 by a small group of American computer experts led by the late global technology guru Wayne Green (1922-2013) to counter the propaganda being used by the West to promote their illegal 2003 invasion of Iraq.]

[Note: The word Kremlin (fortress inside a city) as used in this report refers to Russian citadels, including in Moscow , having cathedrals wherein female Schema monks (Orthodox nuns) reside, many of whom are devoted to the mission of the Sisters of Sorcha Faal.]

The Mysteries Of Time As Revealed By President Donald Trump And Nikola Tesla

It’s Not Absurdity, It’s Civil War—The Americans Are Just Too Naïve To Notice

World War I, RMS Titanic, And The “Nitrogen Bomb” That Will Kill Us All

Return To Main Page",Fake
35,"World's Largest English Language News Service with Over 500 Articles Updated Daily

""The News You Need Today…For The World You’ll Live In Tomorrow.""

What You Aren’t Being Told About The World You Live In

How The “Conspiracy Theory” Label Was Conceived To Derail The Truth Movement

How Covert American Agents Infiltrate the Internet to Manipulate, Deceive, and Destroy Reputations

August 3, 2017

Russia Declares “State Of War Now Exists”: Orders “Masterchain” Destruction Of America

By: Sorcha Faal, and as reported to her Western Subscribers

An apocalyptic sounding new report released in the Kremlin today by the Security Council (SC) affirms that a “state of war” now exists between the Federation and the United States—with all members, including President Putin, authorizing a “Masterchain” counter attack against the Americans that, if fully successful, could see that nations entire economy destroyed by the end of October. [Note: Some words and/or phrases appearing in quotes in this report are English language approximations of Russian words/phrases having no exact counterpart.]

.

According to this report (and as we warned about in our 23 July article New US Law To Remove Trump From Power And Declare War On Russia “Will Be Met By Force”), President Donald Trump, yesterday, was unable to withstand the “Deep State” forces arrayed against him, thus causing him to sign a new sanctions regime against Russia that specifically targets all of Russia’s major industries for destruction—and that Prime Minister Dmitry Medvedev quickly responded to by grimly stating:

“The signing of new sanctions against Russia into law by the US president leads to several consequences. First, any hope of improving our relations with the new US administration is over. Second, the US just declared a full-scale trade war on Russia . Third, the Trump administration demonstrated it is utterly powerless, and in the most humiliating manner transferred executive powers to Congress.

This shifts the alignment of forces in US political circles.

What does this mean for the U.S. ? The American establishment completely outplayed Trump. The president is not happy with the new sanctions, but he could not avoid signing the new law.

The purpose of the new sanctions was to put Trump in his place. Their ultimate goal is to remove Trump from power. An incompetent player must be eliminated.

At the same time, the interests of American businesses were almost ignored. Politics rose above the pragmatic approach. Anti-Russian hysteria has turned into a key part of not only foreign (as has been the case many times), but also domestic US policy (this is recent).

The sanctions codified into law will now last for decades, unless some miracle occurs.”

Prime Minister Dmitry Medvedev announces full scale trade war now exists between Russia and US

. With the American “Deep State” now firmly in control of the United States, this report continues, President Putin’s orders, issued in late 2016, to “prepare for war” against the United States have now been accelerated—and none more fearful than “Operation Masterchain”.

Though the propaganda Western media focused exclusively on President Putin’s bomb shelter preparations, this report details, they failed to inform their peoples that Russia has the most extensive network of bomb shelters to protect against nuclear war the world has ever known—while the United States has no protection for its citizens as it doesn’t even spend any money on them.

In October 2016 when President Putin ordered these preparations for war, this report says, the Western propaganda media, also, failed to report to their peoples that the Central Bank of the Russian Federation had developed a “Masterchain” prototype and successfully made its first test transactions—and that is one of the most fearsome weapons of global economic warfare ever invented.

Managed by FinTech under the governance of the Central Bank of Russia, this report explains, the Federation has become the first nation in the world to digitalize its entire domestic and international economy under the “blockchain” distributed database system (the most important invention since the Internet itself)—and that Tunisia became, in January 2016, the first nation in the world to convert its currency into.

Though many in the world know about crypto currencies (such as Bitcoin and Tunisia’s eDinar), this report details, very few understand the staggering implications of its underlying “blockchain” infrastructure—that is the most secure method of transferring wealth (of all kinds) ever invented, is impervious to hacking and/or spying, and by the day is revolutionizing our entire planet.

With the United States placing its entire economic future under the full control of a vast global military structure, that requires continual conquest of other nations, and has wasted trillions-of-dollars of that nations wealth, this report continues, Russia, instead, invested its economic future in the “Blockchain Revolution”—that is called “Masterchain” and whose crypto currency has been named “Gas”.

Once fully operational, this report notes, “Masterchain” and “Gas” will provide to the world the most secure and secret method of transferring wealth history has ever known—and will be impervious to sanctions, spying and all Western interference.

As nearly all Western economists are warning that the American stock markets are heading for an October 2017 crash of epic proportions, this report says, President Putin has today ordered both “Masterchain” and “Gas” to “immediately prepare” for this global economic crisis offering “safety and security” to everyone seeking to protect their wealth and investments.

Want to know more? (And you really should!) Click HERE.

.

And with trillions-of-dollars flowing into “Masterchain” and “Gas”, this report explains, the United States will be unable to find any global liquidity to sustain itself—as it is already being crushed by its massive $19.9 trillion debt—that when distributed among its 326.7 million citizens, sees each of them owing their government a staggering $60,192 for each and every one of them.

Russia, however, this report continues, has never matched the warmongers in America and has kept defense spending at a fraction of what the US spends—thus allowing the Federation to have a miniscule national debt of only $157.9 billion—that can be paid off instantly from Russia’s $412 billion of savings—and whose 143 million citizens owe nothing—and all of whom live in a nation twice the size of the United States having a total national wealth of $75 trillion.

.

With the “Deep State” now firmly in control of the US Congress, this report warns, their bloodlust shows no signs of abating either as they are now, also, preparing several defense bills that would require their Department of Defense to violate the 1987 Intermediate-Range Nuclear Forces (INF) Treaty with Russia through the development of medium-range missiles banned under the accord—with one of their top Democratic Party lawmakers, US Senator Ben Cardin, triumphantly declaring “We make the laws, not the President of the United States”.

And as President Trump just hours ago warned that relations between the US and Russia are at an all-time and very dangerous low, and his adding that the American people should blame the US Congress for this turn of events, this report concludes, his sudden announcement that he is going into seclusion for 17 days (beginning Friday) has raised further alarms among Security Council members wondering who exactly is now in control of the United States.

Other reports in this series include:

Frightening Endgame Begins In America As Final Takedown Of Trump Begins

New US Law To Remove Trump From Power And Declare War On Russia “Will Be Met By Force”

August 3, 2017 © EU and US all rights reserved. Permission to use this report in its entirety is granted under the condition it is linked back to its original source at WhatDoesItMean.Com. Freebase content licensed under CC-BY and GFDL.

[Note: Many governments and their intelligence services actively campaign against the information found in these reports so as not to alarm their citizens about the many catastrophic Earth changes and events to come, a stance that the Sisters of Sorcha Faal strongly disagree with in believing that it is every human beings right to know the truth. Due to our missions conflicts with that of those governments, the responses of their ‘agents’ has been a longstanding misinformation/misdirection campaign designed to discredit us, and others like us, that is exampled in numerous places, including HERE.]

[Note: The WhatDoesItMean.com website was created for and donated to the Sisters of Sorcha Faal in 2003 by a small group of American computer experts led by the late global technology guru Wayne Green (1922-2013) to counter the propaganda being used by the West to promote their illegal 2003 invasion of Iraq.]

[Note: The word Kremlin (fortress inside a city) as used in this report refers to Russian citadels, including in Moscow , having cathedrals wherein female Schema monks (Orthodox nuns) reside, many of whom are devoted to the mission of the Sisters of Sorcha Faal.]

World War I, RMS Titanic, And The “Nitrogen Bomb” That Will Kill Us All

American Today: “It HAS Come To Blood” (And Why JFK REALLY Had To Die!)

Return To Main Page",Fake
36,"To provide the best experiences, we and our partners use technologies like cookies to store and/or access device information. Consenting to these technologies will allow us and our partners to process personal data such as browsing behavior or unique IDs on this site. Not consenting or withdrawing consent, may adversely affect certain features and functions.

Click below to consent to the above or make granular choices. Your choices will be applied to this site only. You can change your settings at any time, including withdrawing your consent, by using the toggles on the Cookie Policy, or by clicking on the manage consent button at the bottom of the screen.",Fake
37,"To provide the best experiences, we and our partners use technologies like cookies to store and/or access device information. Consenting to these technologies will allow us and our partners to process personal data such as browsing behavior or unique IDs on this site. Not consenting or withdrawing consent, may adversely affect certain features and functions.

Click below to consent to the above or make granular choices. Your choices will be applied to this site only. You can change your settings at any time, including withdrawing your consent, by using the toggles on the Cookie Policy, or by clicking on the manage consent button at the bottom of the screen.",Fake
38,"To provide the best experiences, we and our partners use technologies like cookies to store and/or access device information. Consenting to these technologies will allow us and our partners to process personal data such as browsing behavior or unique IDs on this site. Not consenting or withdrawing consent, may adversely affect certain features and functions.

Click below to consent to the above or make granular choices. Your choices will be applied to this site only. You can change your settings at any time, including withdrawing your consent, by using the toggles on the Cookie Policy, or by clicking on the manage consent button at the bottom of the screen.",Fake
39,"To provide the best experiences, we and our partners use technologies like cookies to store and/or access device information. Consenting to these technologies will allow us and our partners to process personal data such as browsing behavior or unique IDs on this site. Not consenting or withdrawing consent, may adversely affect certain features and functions.

Click below to consent to the above or make granular choices. Your choices will be applied to this site only. You can change your settings at any time, including withdrawing your consent, by using the toggles on the Cookie Policy, or by clicking on the manage consent button at the bottom of the screen.",Fake
40,"To provide the best experiences, we and our partners use technologies like cookies to store and/or access device information. Consenting to these technologies will allow us and our partners to process personal data such as browsing behavior or unique IDs on this site. Not consenting or withdrawing consent, may adversely affect certain features and functions.

Click below to consent to the above or make granular choices. Your choices will be applied to this site only. You can change your settings at any time, including withdrawing your consent, by using the toggles on the Cookie Policy, or by clicking on the manage consent button at the bottom of the screen.",Fake
41,"★本格的なワークウェアとしての半袖シャツ★ 半袖シャツ SUGAR CANE/シュガーケーン FICTION ROMANCE 8.5ozホワイトウォバッシュストライプ S/Sワークシャツ S M Lサイズ 2カラー メンズ 【送料無料】【あす楽】送料無料 カラフルハンガーラック ピンク ストッパー付き シンプル 組立不要のプロ用ハンガーラック 丈夫 工場発送 【 10％OFFスーパーSALE 12/4 20時から】 タフグラン キュートガール600 カラー ハンガーラック ピンク ストッパー 付き 無し 耐荷重100kg 幅60cm 高さ180cm 組立不要 業務用 国産 送料無料 頑丈 強い 最強 パイプハンガー 洋服掛け 伸縮式 衣類収納 キッズ 子供部屋国産 ノニ 原液 飲みやすい お得価格 沖縄 無農薬 無添加 沖縄県産100% ノニジュース原液 900ml×3明治 JALスープビーフコンソメ 8袋×5個★3月1日ワダンフルＤＡＹ「P3倍」＆「店内P5倍」＆最大1,500円OFFフラッシュクーポン★ 【3/1限定ポイント7倍】 スバル 新型 レヴォーグ VN系 分割ロングラゲッジマット （スタンダード） ゴム 防水 日本製 空気触媒加工【質屋かんてい局茜部店】【即日配送可】【ラッピング対応】 COACH【コーチ】4935 オールドコーチショルダーバッグ グリーン系 レザー 鞄【中古】 USED-6 A2001221 質屋 かんてい局茜部店Tivoli Audio CONX-1750-JP Tivoli CONX Black [Wi-Fiトランスミッター] CONX1750JPランコム LANCOME アプソリュ ホワイトオーラ クリーム 【並行輸入品】ランコム LANCOME アプソリュ ホワイトオーラ クリーム ABSOLUE WHITE AURA CREAM箱なし 50ml(5ml×10個) 10002870

エイシン マイコン電気おでん鍋6ッ切×2 CVS-8D【 電気おでん鍋 電気式おでん鍋 おでん鍋 電気 業務用おでん鍋 おでん保温庫 おでん保温器 おでん保温機 おでん保温ケース鍋 おでんウォーマー 】割引クーポンあり★アランドロン SAMOURAI サムライ アクア EDT SP 30ml Fashion THE SALE★サムライ SAMOURAI サムライ アクア EDT SP 30ml 【香水】【あす楽休止中】【割引クーポンあり】七角形の七宝焼き文鎮。鶴、亀のおめでたいデザイン。７０歳、古稀の文字入り。本体サイズ、約７ｃｍ。 七宝焼 文鎮 古稀★2ケースまで同梱可能★1本あたり1,302円(税別)！毎日の食卓にはやっぱり、まる。 白鶴 サケパック まる3Lパック×4本白鶴まる 3000ml ケース 長S ケース販売襟元のストライプがアクセント 【送料無料】鹿の子 ポロシャツ【メンズ レディース ユニセックス 男女兼用 半袖 トップス シンプル ワントーン ストライプ スポーツウェア イベント ゴルフ 夏 通気性 速乾 伸縮 男性 女性 ギフト】【日本製】オールシーズン使えるキッズバスタオル★ 出産祝いや誕生日プレゼントに! イニシャルタグで特別感をプラス♪ 熨斗・メッセージカード・ラッピング無料!ギフト対応 kontexフード付バスタオル★メレンゲ2枚セット 出産祝い プレゼント イニシャルタグ付♪ フード付バスタオル メレンゲ ギフト 1歳誕生日 タオル ベビー バスタオル バスローブ オーガニック kontex コンテックス 日本製 今治岡崎精工(229700) サイドカッター ■岡崎 サイドカッター90X5X25.〔品番:SCT090X050〕[TR-1369332][送料別途見積り][法人・事業所限定][掲外取寄]マーチソンヒューム(マーチソン・ヒューム)衣類用 抗菌・防臭・防シワ・お手入れスプレー(ウール、カシミヤ、木綿、麻など※シルクには使えません) Murchison-Hume（マーチソンヒューム）/衣類用 抗菌・防臭・防シワ・お手入れスプレー""オリジナル""ガーメント グルーム 480ｍｌ (マーチソン・ヒューム)",Fake
42,"Simple, secure purchase & transfer Once payment is complete, we then transfer the domain to your account.

Trusted by customers globally With 80+ million domains under management, we have more experience than anyone.",Fake
43,"Simple, secure purchase & transfer Once payment is complete, we then transfer the domain to your account.

Trusted by customers globally With 80+ million domains under management, we have more experience than anyone.",Fake
44,"Simple, secure purchase & transfer Once payment is complete, we then transfer the domain to your account.

Trusted by customers globally With 80+ million domains under management, we have more experience than anyone.",Fake
45,"Simple, secure purchase & transfer Once payment is complete, we then transfer the domain to your account.

Trusted by customers globally With 80+ million domains under management, we have more experience than anyone.",Fake
46,"Simple, secure purchase & transfer Once payment is complete, we then transfer the domain to your account.

Trusted by customers globally With 80+ million domains under management, we have more experience than anyone.",Fake
47,This domain was recently registered at Namecheap.com. Please check back later!,Fake
48,"The second female Supreme Court justice and 45th President of the United States have never minced words about each other.

Election Season 2016

Ruth Bader Ginsberg was nominated to the highest court in the nation by then-President Bill Clinton in 1993. Donald Trump was a reality TV show star and real estate figure, with a worldwide string of hotels.

During the election season, when Ginsberg was asked about then-candidate Trump, she responded: “I can’t imagine what this place would be — I can’t imagine what the country would be — with Donald Trump as our president … For the country, it could be four years. For the court, it could be — I don’t even want to contemplate that.” [The New York Times, “Ruth Bader Ginsburg, no fan of Donald Trump, critiques latest term,” July 10, 2016.] A few days later she doubled down on her comments and went even further, calling him a ‘faker’, expressing disbelief that he had not released his tax returns, and saying “he really has an ego.” [CNN]

Candidate Trump then commented on her comments in a New York Times interview, saying, “I think it’s highly inappropriate that a United States Supreme Court judge gets involved in a political campaign, frankly … I think it’s a disgrace to the court and I think she should apologize to the court. I couldn’t believe it when I saw it… That she should be saying that? It’s so beneath the court for her to be making statements like that. It only energizes my base even more. And I would hope that she would get off the court as soon as possible.” He then followed up his comments with a tweet calling on her to resign.

On her part, Ginsberg then released a statement expressing regret and acknowledging the importance of apolitical behavior for justices, and said, “In the future, I will be more circumspect.”

Indeed, it is historically unusual for a Supreme Court justice to give a personal opinion on any political candidate or process.

The Trump Presidency and Replacement Debate

President Trump took office in January of 2017, at which time Justice Ginsberg had been serving for 23 years. After the election, things between the President and the Justice were relatively quiet. Ginsberg had several trips to the hospital and her health began declining, spurring a debate about the Constitutionality of when and with whom to replace her, were she to pass away before the end of President Trump’s term.

When Justice Ginsberg did pass in September of 2020, it was reportedly her dying wish that her replacement not come until the new president had been sworn in. Many opinions on both sides of the aisle were expressed by a myriad of public figures and politicians, and 200-year-old letters by Presidents were unearthed and interpreted. When the time came for the sitting President to make a decision, he chose to disregard both that historical analysis and the justice’s last words, and expressed doubt in the veracity of Ginsberg’s reported dying wish. After releasing a statement heralding Ginsberg as a ‘titan of the law’ who ‘led an amazing life, he then gave an interview in which he made clear his intention to replace her, stating that he believed that the report that Ginsberg did not wish to be replaced until the next Presidential term (remember, at this point, the election had not been held, so the next President was not yet decided) was a fabrication authored by Democratic leaders in the House and Senate.

President Trump went on to nominate Amy Coney Barrett, a Notre Dame law professor, who was confirmed by a purely partisan vote.",Fake
49,"From the moment he came down the escalator to announce his candidacy for the US presidency, Donald Trump became the object of much criticism among celebrities from around the world. Here are a few topics celebrities commented on and what a few of them said.

Coronavirus

Actress Debra Messing criticized Trump and his followers for Trump’s attitude toward the virus on Twitter, saying many would die, including Maga loyalists.

Actor, writer, and director Rob Reiner tweeted that Trump needed to be stopped from speaking publicly about the virus, then removed from office.

In a tweet, Trevor Noah said Trump “bumbled” his way through handling the virus.

Captain America star Chris Evans criticized Trump via tweet for not taking questions after a speaking event, asking for answers about Coronavirus from Trump and not VP Pence.

Mega-star entertainer Bette Midler criticized Trumps’ handling of information, suggesting he should not be believed about his test was negative because he lies about everything, according to her tweet.

Writer and comic Larry David said watching Trump speak daily on the virus turned him into a maniac who yells at the tv because of what Trump says.

Actor Don Cheadle criticized Trump’s “Chinese virus” label, suggesting Trump was trying to deflect attention from his response onto China.

Russia Collusion

During and after the Trump-Putin summit that took place after the Russian collusion story took hold, many celebrities had much to say. The criticism mostly centered on Trump’s open questioning of American intelligence concerning Russian interference in the election.

Actor/director Zack Braff tweeted “treason is trending” during the summit.

Actor Jeffrey Wright suggested the summit was a show, sarcastically asking Kim Jong-Un to join the charade.

Rob Reiner criticized Trump for meeting with Putin but refusing to meet with Robert Mueller, who was investigating the President’s alleged connection to Russian interference in the 2016 election.

Comedienne Chelsea Handler made homosexual/homophobic insinuations about the men’s relationship during the summit.

Bette Midler called Trump a traitor for not addressing Russian interference in the election with Putin. Actress Rosanna Arquette echoed that sentiment.

Actor Chris Meloni outrightly called Trump an agent of Putin.

Famed actress Mia Farrow stated that Trump’s “first allegiance is to Russia.”

Iconic actor Carl Reiner accused Trump of treason for “denigrating our… FBI… and praising Putin.”

Figure skater Adam Rippon called Trump “Putin’s puppet.”

Some politicians opined as well.

Senator Elizabeth Warren said by embracing Putin and questioning the FBI’s intelligence gathering, Trump “betrayed America’s institutions… and attacked our democracy.”

Senator Jeff Flake remarked on Trump standing with the Russian dictator while blaming the US for Russian aggression.

Representative Nancy Pelosi said Russia must have had blackmail material to make Trump behave the way he did.

A few celebrity television news channel personalities added their influential voices to the chorus.

MSNBC anchor Joy Reid remarked on Trump’s refusal to address Putin directly about Russia’s interference only to shift attention to Hillary Clinton.

CNN’s Lawrence O’Donnell noted Trump’s lack of anti-Putin bravery.

Repeat Offended

A few celebrities had long-standing feuds with President Trump across many issues along the timeline.

Model Chrissy Teigen took umbrage at President Trump’s description of her as John Legend’s “filthy-mouthed wife,” using profanity to describe the fact that Trump didn’t tag her on his Twitter attack.

The feud between Donald Trump and comic turned daytime talk show host-turned co-host of ABC’s The View Rosie O’Donnell goes back years to O’Donnell’s characterization of Trump as a snake-oil salesman and flared up as soon as Trump announced his candidacy. Commenting on it more than once, O’Donnell still holds that it is Trump who will not let the feud end.

Second, only to O’Donnell is Robert DeNiro. DeNiro began by insulting Trump personally as a candidate then moved into attacking his policies, even stating his belief that Trump would engineer a third term for himself",Fake
